data,codigo,processo,qtd,status,deposito_destino
03/12/2024,035308,S Usinagem,6,ok,Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,032667,S Usinagem,6,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,033376,S Usinagem,6,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033352,S Usinagem,6,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,035636,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,027065,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034704,S Usinagem,6,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035955,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032302,S Usinagem,5,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035591,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034705,S Usinagem,5,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,034132,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033434,S Usinagem,4,ok,Almox Pintura - Embalagem - Almox Pintura - Embalagem
03/12/2024,031165,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035349,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032299,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033467,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033466,S Usinagem,4,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035489,S Usinagem,4,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032268,S Usinagem,3,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035305,S Usinagem,3,ok,Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,035628,S Usinagem,3,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,417269,S Usinagem,3,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-3,000), Recurso: ""417269 - COMPLEM - HASTE (M03)  ROCAX (157337)"", Depósito: ""Almox Corte e Estamparia (138589)"", Lote: """", Lote ativo: """", Etapa: ""9973368"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,032312,S Usinagem,3,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033823,S Usinagem,3,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,033792,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,029217,S Usinagem,2,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-2,000), Recurso: ""029217 - TUBO VARIÁVEL BRAÇO - PRÉ-ENCANTEIRADOR (60202444)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""60202445"", Data: ""07/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,025810,S Usinagem,2,ok,Almox Corte e Estamparia - Almoxarifado Corte e Estamparia
03/12/2024,034435,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032432,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033292,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,496819,S Usinagem,2,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032232,S Usinagem,2,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-2,000), Recurso: ""032232 - PINO DO BRACO - TANDEM CBH/CBHM M20 (72819349)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""72819350"", Data: ""09/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,032265,S Usinagem,1,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032275,S Usinagem,1,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,032949,S Usinagem,1,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,033128,S Usinagem,1,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,035364,S Usinagem,1,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,032287,S Usinagem,1,ok,
03/12/2024,032277,S Usinagem,1,ok,Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,496996,S Usinagem,171,ok,Almox Cx Acessórios - Almoxarifado Caixas de Acessórios
03/12/2024,496959,S Usinagem,90,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,410147,S Usinagem,72,ok,
03/12/2024,025993,S Usinagem,66,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-66,000), Recurso: ""025993 - EIXO DO ROLO MENOR - ROBUSTA (51355353)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""51355354"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Mont Robusta - Almoxarifado Montagem Robusta
03/12/2024,029219,S Usinagem,56,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-45,000), Recurso: ""029219 - ENCAIXE DO DISCO DENTADO [PEC6000] (60222249)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""60222250"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,030387,S Usinagem,38,ok,
03/12/2024,025445,S Usinagem,28,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-28,000), Recurso: ""025445 - PINO LIM GIRO - SUP EIXO CBH-8 (29116821)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""29116822"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Mont Carretas - Almoxarifado Montagem Carretas
03/12/2024,026657,S Usinagem,27,ok,
03/12/2024,026808,S Usinagem,24,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,029221,S Usinagem,23,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-18,000), Recurso: ""029221 - ENCAIXE MENOR DO DISCO - APOIO REGULADOR DO DISCO - PRÉ-ENCANTEIRADOR (60214618)"", Depósito: ""Almox Serra (872893)"", Lote: """", Lote ativo: """", Etapa: ""60214619"", Data: ""07/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,035713,S Usinagem,23,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-23,000), Recurso: ""035713 - PARAFUSO LAMINA METISA [ROCAX1800] (89652416)"", Depósito: ""Almox Forjaria (138590)"", Lote: """", Lote ativo: """", Etapa: ""89057901"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026653,S Usinagem,18,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,429727,S Usinagem,15,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,439666,S Usinagem,15,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026650,S Usinagem,12,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,035636,S Usinagem,12,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-6,000), Recurso: ""035636 - FLANGE DO DISCO [ETR6000 M24] (89071523)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""89071524"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,026864,S Usinagem,12,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026782,S Usinagem,9,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026786,S Usinagem,9,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,010376,S Usinagem,8,ok,
03/12/2024,026815,S Usinagem,6,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026722,S Usinagem,6,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,474319,S Usinagem,6,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026729,S Usinagem,6,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-6,000), Recurso: ""026729 - TUBO CURVADO - PROTETOR SOLAR - APLICADOR DE TNT (60318502)"", Depósito: ""Almox Corte e Estamparia (138589)"", Lote: """", Lote ativo: """", Etapa: ""60318510"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026928,S Usinagem,6,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,026875,S Usinagem,4,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,415182,S Usinagem,4,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-4,000), Recurso: ""415182 - TARUGO COROA 28D-CX T FOR RP (7653)"", Depósito: ""Almox Usinagem (138591)"", Lote: """", Lote ativo: """", Etapa: ""163778"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Mont Rotativas - Almox Montagem Rotativas
03/12/2024,026876,S Usinagem,3,"Erro
Saldo insuficiente neste apontamento.
Erro: Saldo insuficiente (-2,000), Recurso: ""026876 - PINO 2º PONTO - PRÉ-ENCANTEIRADOR (60214647)"", Depósito: ""Almox Serra (872893)"", Lote: """", Lote ativo: """", Etapa: ""60214648"", Data: ""03/12/2024.
Código do erro: 25 (ErpError.SALDO_INSUFICIENTE)

Solução: Tente criar uma nova produção
ou aborte a operação para poder iniciar uma nova.

Exibir detalhes





Ok",Almox Usinagem - Almoxarifado Usinagem
03/12/2024,029766,S Usinagem,3,ok,
03/12/2024,444224,S Usinagem,2,ok,Almox Usinagem - Almoxarifado Usinagem
03/12/2024,423683,S Usinagem,2,ok,Almox Prod Especiais - Almox Produtos Especiais
03/12/2024,035528,S Usinagem,2,ok,
